application_number,status,settled_at,amount_financed,deposit_amount,balloon_amount,repayment_term_month,applicant_entity_type,asset_supplier_type,asset_category,asset_type,asset_manufacture_year,usage_type,gst_registered_date,abn_registered_date,guarantor_1_residential_status,lender_name
QF12057,DRAFTED_AMENDED,,108900,0,0,60,TRUST,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,01-06-2015,01-04-2015,OWNING,Flexicommercial
QF12088,SETTLED,18-12-2023,65934.5,0,0,60,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,21-03-2015,01-12-2010,OWNING,Pepper
QF12095,SETTLED,24-01-2024,141685.5,100000,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,23-07-2020,23-07-2020,OWNING,Flexicommercial
QF12110,SETTLED,28-02-2024,58974.5,50050,0,36,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,08-03-2017,08-03-2017,OWNING,Pepper
QF12115,SETTLED,08-12-2023,140000,10000,0,36,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,21-02-2007,21-02-2007,OWNING,Flexicommercial
QF12162,SETTLED,01-12-2023,35675.81,0,0,36,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,11-08-2015,11-08-2015,OWNING,Pepper
QF12164,SETTLED,11-12-2023,100434.5,26500,0,60,COMPANY,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,DEMO,01-08-2022,01-08-2022,RENTING,Flexicommercial
QF12168,APPROVED_WAITING_FOR_MORE_INFO,,89424.5,22000,0,60,SOLE_TRADER,DEALER,TERTIARY_ASSETS,BEAUTY_EQUIPMENT,2023,NEW,01-07-2021,21-12-2018,RENTING,Flexicommercial
QF12173,SETTLED,07-12-2023,9000,0,0,60,COMPANY,PRIVATE,PRIMARY_ASSETS,TRAILERS,2004,NEW,01-02-2020,09-01-2016,OWNING,Flexicommercial
QF12175,SETTLED,22-12-2023,132000,0,0,60,TRUST,DEALER,SECONDARY_ASSETS,MEDICAL_DENTAL_LABORATORY_EQUIPMENT,2023,NEW,01-10-2013,08-02-2013,RENTING,Flexicommercial
